id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3578440,Top Appartment on The Beach!!!,925118,Alain,,Churriana,36.63073,-4.4923,Entire home/apt,96,4,94,2022-06-02,0.98,6,124,18,CTC-2018102498
13850530,Studio in Torremolinos center near train station.,81793416,José Miguel,,Churriana,36.62423,-4.49926,Entire home/apt,62,5,47,2022-06-15,0.65,4,347,21,VFT/MA/07233
52541093,Loma del Colegial for 6 persons.,163505515,Sonia - Interhome Group,,Churriana,36.625938,-4.505307,Entire home/apt,15,1,0,,,4,262,0,CTC-2019023946
15306461,Sensacional sueño playa y piscina,2092252,Tatiana Juliettesis,,Churriana,36.63124,-4.49174,Entire home/apt,64,4,0,,,9,159,0,Exempt
37268075,⭐Bright Beachfront 1-Bedroom Apt/Walk To Old Town⭐,89705945,Antonio.,,Centro,36.71599,-4.41043,Entire home/apt,300,1,55,2022-06-26,1.58,30,346,23,CTC-2019138018
10448827,Apartment with sea view,24323565,Ludek,,Este,36.71545,-4.30349,Entire home/apt,193,2,5,2022-05-10,0.07,11,301,3,CTC-201665087
29024137,"TORREMOLINOS🌴✨🔝NEW, MODERN & CENTRAL STUDIO⭐️",8729645,Javier,,Churriana,36.62325,-4.50028,Entire home/apt,87,3,87,2022-06-12,2.08,2,254,29,VFT/MA/25394
597485738979887827,TESS Villa Rio Nilo,248992805,TESS Vacacional,,Churriana,36.65704,-4.55285,Entire home/apt,739,1,6,2022-06-23,2.65,8,137,6,VFT/MA/49354
44488487,Holidays Cala del Moral,143773931,Maria,,Este,36.71847,-4.31249,Entire home/apt,94,2,3,2021-08-01,0.23,1,136,2,Exempt
52326256,weforyou Las Nereidas de Los Álamos 3 bedrooms,254920846,Susana Y Diego,,Churriana,36.64398,-4.48014,Entire home/apt,209,3,2,2022-05-29,0.78,2,288,2,VFT/MA/46940
52544870,Torremolinos studio sea view by Lightbooking,153350791,Gustavo,,Churriana,36.6227,-4.5012,Entire home/apt,64,1,9,2022-06-20,2.08,1,319,9,VFT/MA/47053
